Bigram/Trigram,LLR,OddsRatio,P-Value
"('Person', 'know')",12.64157824,1.027333073,0.000371934
"('Person', 'do', 'thing')",12.36595966,1.273402825,0.000385993
"('Person', 'call', 'you')",12.0827832,1.449554575,0.000497492
"('Person', 'slow')",11.67142241,1.385284171,0.0005721
"('Person', 'be', 'angry')",11.47464945,1.259869575,0.000627861
"('Person', 'swing')",11.21829042,1.456042306,0.00073887
"('Person', 'find', 'he')",10.132177,1.361239899,0.001339717
"('Person', 'search')",9.967722457,1.297721582,0.001435538
"('Person', 'know', 'name')",9.872499614,1.372740289,0.001453179
"('Person', 'be', 'there')",9.823661889,1.349745907,0.001540719
"('Person', 'survive')",9.682285908,1.399322256,0.001686136
"('Person', 'say', 'it')",9.529378953,1.251616761,0.001935309
"('Person', 'open', 'it')",9.396808631,1.296025179,0.001957822
"('Person', 'close', 'door')",9.023352181,1.2301447,0.002619243
"('Person', 'know', 'this')",8.55610397,1.252776494,0.003310664
"('Person', 'kill')",8.093864457,1.354771056,0.003870446
"('Person', 'know', 'that')",7.860182284,1.207498261,0.004624538
"('Person', 'have', 'something')",7.850988783,1.274399594,0.004778477
"('Person', 'be', 'part')",7.533618062,1.320386029,0.005256502
"('Person', 'be', 'unable')",7.528935132,1.364694114,0.005376974
"('Person', 'bring', 'it')",7.23297747,1.326012589,0.00625027
"('Person', 'consider')",7.219574996,1.138329691,0.006803071
"('Person', 'want')",7.0133488,1.026390418,0.007993492
"('Person', 'get', 'it')",6.614542006,1.153596148,0.00960544
"('Person', 'say', 'word')",6.314671209,1.27812722,0.010888006
"('Person', 'observe')",6.285367331,1.230257462,0.011450147
"('Person', 'be', 'free')",6.238353941,1.287034175,0.011313634
"('Person', 'follow', 'he')",6.094821465,1.210028577,0.013180432
"('Person', 'have', 'right')",6.085519781,1.271424248,0.012765839
"('Person', 'wander')",6.076520378,1.181300903,0.013352301
"('Person', 'turn', 'face')",5.863946204,1.300619499,0.014290488
"('Person', 'bow')",5.83567418,1.266964478,0.014085931
"('Person', 'spend', 'hour')",5.753332648,1.274444574,0.014960563
"('Person', 'be', 'alive')",5.403098625,1.216145053,0.018141321
"('Person', 'take', 'you')",5.403054229,1.253897219,0.019090054
"('Person', 'be', 'small')",5.302152276,1.296051615,0.020504609
"('Person', 'hold', 'arm')",5.261044936,1.305689531,0.019690353
"('Person', 'be', 'embarrassed')",5.246952485,1.265369678,0.020395655
"('Person', 'believe', 'it')",5.217964355,1.204420802,0.022180913
"('Person', 'linger')",4.663228321,1.241556711,0.027207996
"('Person', 'touch')",4.341527292,1.241373186,0.033043077
"('Person', 'chat')",4.252694659,1.274854942,0.03858373
"('Person', 'like', 'Person')",4.243016291,1.150191665,0.037793281
"('Person', 'know', 'it')",4.079092716,1.119233913,0.041365735
"('Person', 'have')",3.968688001,1.020400006,0.0462742
"('Person', 'be', 'alone')",3.947418341,1.161685745,0.045036687
"('Person', 'smell')",3.586311944,1.122504211,0.057925481
"('Person', 'prepare')",3.569574505,1.250296437,0.057570079
"('Person', 'become')",3.561796653,1.250951325,0.05676794
"('Person', 'like', 'he')",3.427177793,1.237328894,0.057217271
"('Person', 'lose', 'Person')",3.399334725,1.221356538,0.064239064
"('Person', 'lay')",3.209871044,1.066629164,0.071453048
"('Person', 'be', 'desperate')",3.166532313,1.232876578,0.067648638
"('Person', 'choose')",2.975808267,1.114383655,0.083539058
"('Person', 'pick')",2.909375437,1.120996444,0.086946171
"('Person', 'know', 'you')",2.900209991,1.181957958,0.08487619
"('Person', 'love', 'she')",2.858629893,1.175517864,0.084421925
"('Person', 'have', 'trouble')",2.791639663,1.16990038,0.090047876
"('Person', 'have')",2.705210135,1.11782667,0.096355037
"('Person', 'click')",2.621078231,1.207852431,0.101265162
"('Person', 'leave', 'he')",2.573716286,1.171309633,0.102943758
"('Person', 'shut', 'eye')",2.471882578,1.155337271,0.107326682
"('Person', 'see', 'anything')",2.258705464,1.192847997,0.125961398
"('Person', 'cough')",2.03415502,1.114744418,0.147043493
"('Person', 'mention')",1.819992806,1.11028235,0.173693415
"('Person', 'have', 'one')",1.81495362,1.090781033,0.174688345
"('Person', 'find', 'way')",1.811622006,1.129178583,0.174492899
"('Person', 'keep', 'eye')",1.743115448,1.107464178,0.175435909
"('Person', 'want', 'Person')",1.623147703,1.081251692,0.197086037
"('Person', 'repeat')",1.579259577,1.062464915,0.200868409
"('Person', 'enter')",1.577790592,1.117799093,0.197751666
"('Person', 'take', 'care')",1.555458657,1.093106007,0.21051226
"('Person', 'kick')",1.511891767,1.129432617,0.214453514
"('Person', 'afford')",1.505031858,1.163360083,0.21546561
"('Person', 'be', 'smart')",1.363072967,1.131758658,0.241681648
"('Person', 'hand', 'it')",1.358904385,1.155336883,0.237347693
"('Person', 'insist')",1.26562433,1.044584793,0.252340691
"('Person', 'be', 'sad')",1.261421252,1.140984879,0.239741674
"('Person', 'be', 'careful')",1.249461937,1.103004711,0.253168365
"('Person', 'be', 'upset')",1.182549657,1.124933312,0.255206361
"('Person', 'take', 'one')",1.013993536,1.107639513,0.308256746
"('Person', 'thank', 'Person')",0.933558003,1.125131924,0.326725286
"('Person', 'need', 'Person')",0.917304766,1.076287661,0.335961115
"('Person', 'find', 'it')",0.876647129,1.080913429,0.338193592
"('Person', 'have', 'look')",0.807128372,1.094261784,0.364903751
"('Person', 'is', 'one')",0.751701391,1.084511626,0.372822622
"('Person', 'kill', 'Person')",0.748767309,1.100320765,0.375022398
"('Person', 'be', 'cold')",0.713113309,1.099131215,0.370275516
"('Person', 'happen')",0.634058602,1.066464836,0.417758742
"('Person', 'give', 'Person')",0.612008919,1.08737579,0.420297246
"('Person', 'act')",0.516962801,1.051187061,0.464941449
"('Person', 'mean', 'it')",0.510128058,1.057530572,0.456333098
"('Person', 'be', 'safe')",0.378628411,1.068141475,0.518943135
"('Person', 'watch', 'Person')",0.35853968,1.037716392,0.535830484
"('Person', 'kneel')",0.344679378,1.032120344,0.552776168
"('Person', 'help', 'you')",0.336315453,1.050623451,0.549769774
"('Person', 'be', 'here')",0.279856384,1.064975107,0.588876849
"('Person', 'be', 'certain')",0.278707367,1.034244822,0.586908203
"('Person', 'be', 'impressed')",0.235800008,1.056639525,0.607658391
"('Person', 'have', 'reason')",0.175995181,1.046538088,0.661684852
"('Person', 'clap', 'hand')",0.150711608,1.054535374,0.677764954
"('Person', 'flip')",0.12474505,1.032582089,0.713998015
"('Person', 'be', 'wrong')",0.121947664,1.027569994,0.723502217
"('Person', 'lead', 'he')",0.103436538,1.044954054,0.728046115
"('Person', 'chew')",0.093022934,1.036006005,0.727222515
"('Person', 'do', 'job')",0.064626257,1.038241577,0.765147197
"('Person', 'lay', 'hand')",0.05995168,1.03607595,0.770272635
"('Person', 'be', 'startled')",0.017140657,1.020994997,0.867390474
"('Person', 'extend', 'hand')",0.015999988,1.022628874,0.857305859
"('Person', 'set', 'it')",0.013986951,1.021726098,0.856864623
"('Person', 'be', 'drunk')",0.009626376,1.010919392,0.905750291
"('Person', 'realize')",0.007654689,1.002477662,0.921056638
"('Person', 'pick', 'Person')",0.001747679,1.009517248,0.959309513
"('Person', 'be', 'different')",7.87E-05,1.004467721,0.965733722
"('Person', 'do', 'same')",-1.91E-06,0.994872954,1
"('Person', 'forget')",-6.30E-05,0.998980808,0.984876354
"('Person', 'dance')",-0.000127505,0.996477582,0.970712946
"('Person', 'take', 'phone')",-0.000133414,0.995058466,1
"('Person', 'know', 'what')",-0.000528641,0.990288278,0.952776906
"('Person', 'concentrate')",-0.001063241,0.991126081,0.958225117
"('Person', 'catch', 'sight')",-0.001573522,0.998101227,1
"('Person', 'have', 'idea')",-0.004253492,0.997237594,0.946260219
"('Person', 'raise', 'head')",-0.007795694,0.986636742,0.921984757
"('Person', 'avoid')",-0.008842873,0.981244525,0.902951904
"('Person', 'shout')",-0.023216645,0.995300623,0.876375318
"('Person', 'be', 'proud')",-0.025635525,0.98592394,0.856780039
"('Person', 'turn', 'Person')",-0.031677632,0.972529888,0.86007953
"('Person', 'have', 'much')",-0.037543381,0.975968967,0.841887779
"('Person', 'refuse')",-0.03990387,0.989217527,0.827651363
"('Person', 'draw')",-0.046564513,0.983565213,0.815980132
"('Person', 'do', 'something')",-0.046959846,0.97897647,0.805012491
"('Person', 'give', 'laugh')",-0.059803579,0.967984402,0.785869766
"('Person', 'be', 'better')",-0.079551194,0.972505193,0.764198468
"('Person', 'need', 'help')",-0.089006529,0.966912253,0.734722386
"('Person', 'lose')",-0.09554284,0.967364807,0.74438842
"('Person', 'be', 'disappointed')",-0.099065536,0.956647809,0.722850089
"('Person', 'awake')",-0.138216117,0.960342699,0.700312167
"('Person', 'like', 'that')",-0.143909349,0.951453314,0.690325442
"('Person', 'stride')",-0.151939553,0.959674363,0.672192889
"('Person', 'watch', 'she')",-0.15984589,0.961404689,0.690377307
"('Person', 'follow', 'Person')",-0.164470196,0.968361378,0.662939907
"('Person', 'make', 'Person')",-0.165973548,0.965006145,0.66183837
"('Person', 'have', 'eye')",-0.208868923,0.962252481,0.641869765
"('Person', 'be', 'exhausted')",-0.240259167,0.941850089,0.621561925
"('Person', 'rest')",-0.259145896,0.939504083,0.581482635
"('Person', 'do', 'best')",-0.275138306,0.956912639,0.584956578
"('Person', 'take', 'it')",-0.306461941,0.977196416,0.573740705
"('Person', 'hover')",-0.328873417,0.939040258,0.546237269
"('Person', 'feel', 'need')",-0.333210005,0.930870782,0.535504716
"('Person', 'make', 'decision')",-0.381564897,0.92562012,0.529840789
"('Person', 'join')",-0.392660955,0.932947401,0.506929518
"('Person', 'be', 'aware')",-0.399739498,0.966536954,0.51841063
"('Person', 'have', 'plenty')",-0.483376296,0.910024973,0.457157183
"('Person', 'notice', 'Person')",-0.581672031,0.911064957,0.427873585
"('Person', 'dive')",-0.659160619,0.901016748,0.40427372
"('Person', 'spend', 'most')",-0.678031994,0.89940713,0.402515064
"('Person', 'hate', 'Person')",-0.805628679,0.912857967,0.361157868
"('Person', 'trust')",-0.811792085,0.917472575,0.364063173
"('Person', 'remind', 'he')",-0.833009342,0.91330897,0.346393088
"('Person', 'want', 'it')",-0.895967886,0.917242939,0.338512426
"('Person', 'be', 'willing')",-0.906598201,0.912107221,0.334590447
"('Person', 'take', 'eye')",-0.912746256,0.888719938,0.324571916
"('Person', 'be', 'something')",-0.91571573,0.880255961,0.319346017
"('Person', 'do', 'that')",-0.922542802,0.95575721,0.334528727
"('Person', 'miss', 'Person')",-0.978460213,0.907119127,0.302670485
"('Person', 'echo')",-1.096075284,0.873907924,0.276120315
"('Person', 'shut', 'door')",-1.176751298,0.895385224,0.264169161
"('Person', 'have', 'hair')",-1.185664141,0.919082436,0.262582
"('Person', 'rub', 'eye')",-1.218390719,0.87623786,0.25727516
"('Person', 'be', 'awake')",-1.297420495,0.892968653,0.253981849
"('Person', 'take', 'bite')",-1.323111478,0.875622928,0.249261209
"('Person', 'make')",-1.338069646,0.973570909,0.24724632
"('Person', 'roar')",-1.3668362,0.876661827,0.238391835
"('Person', 'raise', 'hand')",-1.427874218,0.931554133,0.224803472
"('Person', 'change')",-1.445107359,0.921571053,0.222395191
"('Person', 'fold', 'arm')",-1.459934007,0.868063106,0.22046538
"('Person', 'stir')",-1.537681813,0.882939468,0.21082635
"('Person', 'doubt')",-1.602230895,0.919552622,0.197516669
"('Person', 'have', 'anything')",-1.629930297,0.847746407,0.197529133
"('Person', 'throw')",-1.701516477,0.888719678,0.190916181
"('Person', 'spend', 'time')",-1.755740262,0.897533356,0.179560123
"('Person', 'step')",-1.825752847,0.965558656,0.173673103
"('Person', 'fight')",-1.875115515,0.921454521,0.17028327
"('Person', 'fit')",-1.875295437,0.848551668,0.169561749
"('Person', 'urge')",-1.98568415,0.84086565,0.158967777
"('Person', 'hold', 'hand')",-2.002916697,0.942275219,0.153833003
"('Person', 'regret')",-2.025153146,0.867661667,0.149736458
"('Person', 'help', 'Person')",-2.15908641,0.854631825,0.136342868
"('Person', 'sway')",-2.332333512,0.829123253,0.126988717
"('Person', 'accept')",-2.370887812,0.855804104,0.118774058
"('Person', 'feel', 'way')",-2.401091173,0.849960525,0.117351283
"('Person', 'hug')",-2.581798368,0.829629295,0.105599732
"('Person', 'lift')",-2.599840825,0.835044529,0.106749842
"('Person', 'stick')",-2.6844622,0.854690534,0.095312571
"('Person', 'convince')",-2.693694752,0.813013977,0.091354762
"('Person', 'announce')",-2.728782887,0.91358951,0.096046776
"('Person', 'have', 'sex')",-2.748210045,0.833174674,0.090098831
"('Person', 'have', 'doubt')",-2.765370096,0.828573992,0.091848227
"('Person', 'take', 'hand')",-2.947111265,0.927011275,0.085730413
"('Person', 'like', 'it')",-2.978679046,0.903509269,0.083702153
"('Person', 'be', 'thing')",-3.10212722,0.850674994,0.074873679
"('Person', 'ignore')",-3.217921951,0.806798569,0.06593478
"('Person', 'threaten')",-3.456169271,0.800344162,0.057433866
"('Person', 'take', 'look')",-3.463261559,0.842761699,0.060879889
"('Person', 'be', 'tired')",-3.565406151,0.901724542,0.055991739
"('Person', 'fail')",-3.593113246,0.868493224,0.05428602
"('Person', 'have', 'plan')",-3.65758067,0.837316152,0.052646226
"('Person', 'motion')",-3.820415368,0.832821172,0.050636927
"('Person', 'cut')",-3.874953397,0.848346073,0.046151966
"('Person', 'hold')",-3.925067201,0.916732438,0.046401995
"('Person', 'have', 'able')",-3.965107503,0.870037893,0.043591253
"('Person', 'look', 'Person')",-3.981800368,0.823993834,0.043027717
"('Person', 'leave', 'room')",-4.026229281,0.817977389,0.041574159
"('Person', 'have', 'feeling')",-4.161288247,0.873907055,0.041325472
"('Person', 'love', 'he')",-4.679914833,0.85045482,0.030703734
"('Person', 'be', 'much')",-4.694845236,0.809609883,0.029419271
"('Person', 'cry')",-4.841094461,0.942040118,0.02724171
"('Person', 'close')",-4.988915924,0.796945503,0.023397318
"('Person', 'recover')",-5.027669242,0.766037571,0.021932494
"('Person', 'sink')",-5.171870179,0.854442324,0.023096252
"('Person', 'duck')",-5.197749973,0.804980771,0.020750298
"('Person', 'have', 'problem')",-5.224749926,0.815747724,0.021409963
"('Person', 'be', 'nothing')",-5.313907356,0.795697737,0.020783057
"('Person', 'be', 'late')",-5.327638763,0.759758557,0.018600617
"('Person', 'apologize')",-5.709482916,0.858641394,0.015885014
"('Person', 'smile', 'smile')",-5.747669179,0.773661947,0.014817781
"('Person', 'have', 'lot')",-6.337832357,0.812543131,0.011152788
"('Person', 'pull', 'it')",-6.343555508,0.774863266,0.010571838
"('Person', 'confess')",-6.425434267,0.837266688,0.010989362
"('Person', 'hold', 'breath')",-6.487013413,0.799847196,0.010271225
"('Person', 'concede')",-6.493726666,0.773291972,0.010779323
"('Person', 'have', 'hand')",-6.645454305,0.806798005,0.009234293
"('Person', 'pop')",-6.952433749,0.736820889,0.008432991
"('Person', 'slip')",-7.187578201,0.875031137,0.006889768
"('Person', 'be', 'worried')",-7.239713713,0.809598542,0.007155955
"('Person', 'be', 'glad')",-7.546043167,0.873631804,0.005663071
"('Person', 'leave', 'you')",-7.867210308,0.717523907,0.005038688
"('Person', 'pay', 'attention')",-8.038363563,0.806857676,0.004303776
"('Person', 'drop')",-8.09165836,0.847244817,0.004124271
"('Person', 'hesitate')",-8.158904925,0.891210383,0.004067828
"('Person', 'lead', 'Person')",-8.268890965,0.754416394,0.003640025
"('Person', 'have', 'chance')",-8.443148911,0.768984819,0.003604381
"('Person', 'dare')",-8.63592372,0.818998668,0.003318735
"('Person', 'be', 'lucky')",-9.011103873,0.779692938,0.0027005
"('Person', 'do', 'anything')",-9.134055789,0.833441081,0.002472871
"('Person', 'be', 'nice')",-9.134449589,0.76295681,0.002243083
"('Person', 'shriek')",-9.166350127,0.741158145,0.002420024
"('Person', 'be', 'strong')",-9.479649932,0.725664838,0.00202496
"('Person', 'make', 'note')",-9.513090427,0.720849938,0.001990761
"('Person', 'gesture')",-9.518634511,0.839962874,0.001989513
"('Person', 'shoot')",-9.588869488,0.827032393,0.001881338
"('Person', 'enter', 'room')",-10.08196755,0.690878672,0.001328099
"('Person', 'head')",-10.60720259,0.855595012,0.001097186
"('Person', 'feel', 'something')",-10.70303483,0.728813219,0.000984611
"('Person', 'raise')",-10.71623797,0.688757312,0.000942583
"('Person', 'want', 'he')",-10.73760376,0.706850365,0.001003038
"('Person', 'tell', 'himself')",-10.7517892,0.790867802,0.000968186
"('Person', 'plan')",-10.85391536,0.830869651,0.000972151
"('Person', 'be', 'happy')",-11.06059002,0.877253453,0.00085628
"('Person', 'hold', 'Person')",-11.07563768,0.736242556,0.000772316
"('Person', 'struggle')",-11.26189209,0.839164379,0.000734017
"('Person', 'back')",-11.67968828,0.774511207,0.000573355
"('Person', 'follow')",-11.80184701,0.849862255,0.000582935
"('Person', 'be', 'curious')",-12.06429049,0.715981927,0.000448153
"('Person', 'tend')",-12.11968145,0.745686625,0.000463085
"('Person', 'resist')",-13.01063762,0.713927536,0.000273093
"('Person', 'explain')",-13.2210148,0.897451901,0.000263969
"('Person', 'be', 'mad')",-13.32675555,0.678759052,0.000255473
"('Person', 'fumble')",-13.3340703,0.722083893,0.000257213
"('Person', 'catch', 'eye')",-13.41778778,0.687806132,0.000239576
"('Person', 'rush')",-13.52588998,0.815871942,0.000230929
"('Person', 'take', 'sip')",-13.94140528,0.719941164,0.00018629
"('Person', 'bark')",-14.59749581,0.703568902,0.00011609
"('Person', 'have', 'thing')",-14.63131146,0.725223242,0.000115387
"('Person', 'lean', 'head')",-14.84099557,0.662262857,0.000101573
"('Person', 'say', 'anything')",-15.13430806,0.838435236,9.77E-05
"('Person', 'open')",-15.24783874,0.743273374,9.30E-05
"('Person', 'suggest')",-15.37529173,0.850992202,8.48E-05
"('Person', 'declare')",-15.94351253,0.759343403,6.50E-05
"('Person', 'be', 'naked')",-16.03296423,0.627657712,5.32E-05
"('Person', 'need', 'it')",-16.31743894,0.654225473,4.66E-05
"('Person', 'burst')",-16.56835552,0.754145476,4.46E-05
"('Person', 'catch')",-16.6136226,0.780537413,4.19E-05
"('Person', 'seem')",-16.70598041,0.917945952,4.21E-05
"('Person', 'win')",-16.80509108,0.718102168,4.00E-05
"('Person', 'watch', 'he')",-16.95683335,0.767688413,3.57E-05
"('Person', 'love', 'it')",-17.1326227,0.74596326,3.10E-05
"('Person', 'cling')",-17.36040763,0.6897516,3.02E-05
"('Person', 'land')",-17.45300682,0.682369134,2.81E-05
"('Person', 'miss')",-17.46713721,0.7631734,2.74E-05
"('Person', 'lift', 'hand')",-17.76208459,0.721078248,2.50E-05
"('Person', 'feel', 'it')",-19.02834987,0.75280486,1.19E-05
"('Person', 'slump')",-19.17641548,0.647812309,1.19E-05
"('Person', 'straighten')",-19.36719971,0.710769642,1.07E-05
"('Person', 'assure', 'he')",-19.51056041,0.618756407,1.01E-05
"('Person', 'wake')",-20.44528478,0.860663441,6.02E-06
"('Person', 'sniff')",-21.01442142,0.708670908,4.32E-06
"('Person', 'assure')",-21.32760619,0.612188977,3.74E-06
"('Person', 'shut')",-21.61339708,0.59517215,2.84E-06
"('Person', 'find')",-21.82881854,0.908610373,2.95E-06
"('Person', 'be', 'first')",-22.12788228,0.689385189,2.44E-06
"('Person', 'add')",-22.22280464,0.866151566,2.37E-06
"('Person', 'fall')",-22.4159836,0.875521842,2.13E-06
"('Person', 'twist')",-23.29507377,0.594038137,1.27E-06
"('Person', 'proceed')",-23.92535236,0.640305351,8.85E-07
"('Person', 'react')",-24.0448099,0.630848845,8.45E-07
"('Person', 'be', 'excited')",-24.40656246,0.646592869,7.87E-07
"('Person', 'be', 'jealous')",-25.70730391,0.565270708,3.61E-07
"('Person', 'note')",-27.08090469,0.706256247,1.90E-07
"('Person', 'see', 'you')",-27.33252954,0.743963542,1.67E-07
"('Person', 'enjoy')",-27.42327606,0.653380082,1.40E-07
"('Person', 'be', 'ready')",-27.48493644,0.750553804,1.49E-07
"('Person', 'be', 'busy')",-27.65715457,0.722082496,1.44E-07
"('Person', 'allow')",-27.66136207,0.777358776,1.37E-07
"('Person', 'love', 'Person')",-27.81212058,0.730859069,1.24E-07
"('Person', 'be', 'quick')",-28.12947048,0.587730678,1.00E-07
"('Person', 'remember', 'time')",-28.90301055,0.608985939,6.34E-08
"('Person', 'argue')",-29.5979386,0.72106958,4.75E-08
"('Person', 'tremble')",-30.51774876,0.57158605,3.36E-08
"('Person', 'try')",-31.10718484,0.926847231,2.41E-08
"('Person', 'help', 'it')",-31.51684286,0.613478713,1.91E-08
"('Person', 'miss', 'you')",-32.07629136,0.609061416,1.26E-08
"('Person', 'hope')",-32.40249348,0.875237194,1.19E-08
"('Person', 'take', 'seat')",-33.12088901,0.608230811,7.30E-09
"('Person', 'ignore', 'he')",-33.18730703,0.586288449,7.28E-09
"('Person', 'hate', 'it')",-33.41654218,0.595566027,7.55E-09
"('Person', 'shake')",-33.58805261,0.711091762,6.39E-09
"('Person', 'be', 'good')",-34.81467468,0.764117172,3.31E-09
"('Person', 'find', 'himself')",-36.44841561,0.528998788,1.27E-09
"('Person', 'deal')",-36.77595508,0.592709746,1.34E-09
"('Person', 'turn')",-36.97797083,0.919243155,1.16E-09
"('Person', 'wave', 'hand')",-37.8554034,0.597585796,6.83E-10
"('Person', 'hop')",-38.07309709,0.56037106,5.57E-10
"('Person', 'grab')",-38.12622654,0.603613402,5.94E-10
"('Person', 'feel', 'Person')",-38.52042684,0.574492378,4.98E-10
"('Person', 'expect')",-39.0443987,0.799325409,3.82E-10
"('Person', 'grab', 'arm')",-39.73398394,0.509202437,2.87E-10
"('Person', 'scramble')",-39.81741557,0.603804872,2.47E-10
"('Person', 'care')",-39.81809232,0.824195973,2.65E-10
"('Person', 'be', 'one')",-40.12386895,0.832710699,2.36E-10
"('Person', 'crawl')",-40.5891207,0.651081453,1.74E-10
"('Person', 'make', 'face')",-41.84312183,0.629986775,9.42E-11
"('Person', 'be', 'shocked')",-43.06772462,0.546396632,5.01E-11
"('Person', 'be', 'stupid')",-44.04329619,0.501446616,2.64E-11
"('Person', 'confirm')",-44.80057403,0.514715583,1.94E-11
"('Person', 'remark')",-45.2571473,0.600019554,1.49E-11
"('Person', 'plead')",-45.48047699,0.612543713,1.43E-11
"('Person', 'warn')",-48.84829893,0.600511236,2.79E-12
"('Person', 'spit')",-49.26891908,0.623841029,1.88E-12
"('Person', 'do', 'this')",-50.22212247,0.682521454,1.38E-12
"('Person', 'is')",-52.28891936,0.909937728,4.79E-13
"('Person', 'make', 'it')",-52.37585761,0.701106102,3.95E-13
"('Person', 'mind')",-53.26976098,0.671793149,2.51E-13
"('Person', 'turn', 'attention')",-53.66007067,0.484954365,1.87E-13
"('Person', 'squeeze', 'hand')",-53.85897142,0.522720913,1.92E-13
"('Person', 'kiss', 'she')",-54.34142918,0.517177435,1.45E-13
"('Person', 'be', 'nervous')",-54.67839904,0.544918337,1.26E-13
"('Person', 'protest')",-56.05201565,0.618007319,6.94E-14
"('Person', 'be', 'more')",-56.32310463,0.525913741,6.30E-14
"('Person', 'be', 'scared')",-56.39809812,0.47758419,5.70E-14
"('Person', 'shuffle')",-56.49752919,0.536687231,4.63E-14
"('Person', 'be', 'able')",-57.29187627,0.786116582,3.78E-14
"('Person', 'give')",-57.93397082,0.762136418,2.60E-14
"('Person', 'be', 'bit')",-59.81871766,0.45852251,8.24E-15
"('Person', 'panic')",-61.32665231,0.457171339,4.40E-15
"('Person', 'be', 'fine')",-61.882548,0.624178066,3.68E-15
"('Person', 'look')",-66.08556091,0.93924703,4.22E-16
"('Person', 'need', 'you')",-66.17050587,0.487360695,3.38E-16
"('Person', 'stretch')",-66.31342727,0.494747188,3.41E-16
"('Person', 'sob')",-66.41673452,0.513199617,3.74E-16
"('Person', 'be', 'surprised')",-66.70826723,0.696836336,2.94E-16
"('Person', 'force')",-68.4729028,0.576777609,1.09E-16
"('Person', 'have', 'time')",-68.7893192,0.703451141,1.00E-16
"('Person', 'want', 'you')",-69.41604816,0.474873082,6.16E-17
"('Person', 'deserve')",-69.47544084,0.449835058,7.68E-17
"('Person', 'take', 'time')",-71.72719692,0.546948766,2.37E-17
"('Person', 'sound')",-71.82828016,0.728947394,2.26E-17
"('Person', 'move')",-71.96307094,0.836414121,2.06E-17
"('Person', 'watch')",-72.4096774,0.826477361,1.67E-17
"('Person', 'be', 'okay')",-73.31933162,0.410542495,1.01E-17
"('Person', 'make', 'sound')",-75.97027309,0.543348215,2.61E-18
"('Person', 'shoot', 'look')",-76.20502466,0.413850186,1.89E-18
"('Person', 'pause')",-76.53413643,0.799596609,2.06E-18
"('Person', 'spin')",-78.22784532,0.483856452,9.43E-19
"('Person', 'wan')",-78.91488955,0.420708958,6.15E-19
"('Person', 'meet', 'eye')",-80.41165464,0.453880034,2.86E-19
"('Person', 'squeeze')",-80.84997774,0.484953546,1.95E-19
"('Person', 'correct')",-82.08571527,0.404032128,1.04E-19
"('Person', 'joke')",-82.37407364,0.540107559,1.03E-19
"('Person', 'order')",-83.69635381,0.529371241,5.27E-20
"('Person', 'attempt')",-84.13390737,0.491015323,4.16E-20
"('Person', 'take', 'step')",-84.39791456,0.656578752,3.52E-20
"('Person', 'stiffen')",-86.63559699,0.407947144,1.29E-20
"('Person', 'grimace')",-87.23252192,0.458148294,8.05E-21
"('Person', 'complain')",-88.55290997,0.613941893,4.87E-21
"('Person', 'offer')",-88.63195673,0.664271172,4.45E-21
"('Person', 'be', 'beautiful')",-88.73993644,0.514526797,3.72E-21
"('Person', 'fuck')",-89.52228095,0.424464611,2.72E-21
"('Person', 'rub')",-91.02219814,0.405116067,1.30E-21
"('Person', 'give', 'nod')",-91.13915898,0.387261865,1.24E-21
"('Person', 'push')",-91.25767876,0.658180248,1.25E-21
"('Person', 'yawn')",-93.13910365,0.461672636,4.21E-22
"('Person', 'break')",-93.28619089,0.626784056,4.09E-22
"('Person', 'stare')",-94.27595437,0.816784108,2.69E-22
"('Person', 'realise')",-95.80047862,0.595446502,1.10E-22
"('Person', 'exhale')",-97.99177366,0.452580003,3.51E-23
"('Person', 'stammer')",-100.8214922,0.389924096,9.86E-24
"('Person', 'bother')",-102.2198051,0.548642383,4.50E-24
"('Person', 'answer')",-104.8156584,0.766972037,1.26E-24
"('Person', 'notice')",-105.3489103,0.739451425,9.89E-25
"('Person', 'scream')",-105.8629001,0.656269895,7.21E-25
"('Person', 'curse')",-107.8904121,0.376552149,2.82E-25
"('Person', 'curl')",-110.5455345,0.362514422,6.38E-26
"('Person', 'reach', 'hand')",-112.8280506,0.418031753,1.91E-26
"('Person', 'figure')",-113.0121706,0.627083253,1.82E-26
"('Person', 'stumble')",-113.4485899,0.553340557,1.51E-26
"('Person', 'shake', 'head')",-116.3623425,0.820132124,3.66E-27
"('Person', 'agree')",-116.7887988,0.729163079,2.85E-27
"('Person', 'inquire')",-121.2585743,0.362719869,2.55E-28
"('Person', 'be', 'close')",-123.8302644,0.490368877,8.92E-29
"('Person', 'inhale')",-125.4050607,0.37436644,3.59E-29
"('Person', 'beg')",-128.8266665,0.501472714,7.31E-30
"('Person', 'grab', 'Person')",-128.8905153,0.331728429,6.36E-30
"('Person', 'slide')",-132.0845466,0.505372348,1.44E-30
"('Person', 'pull', 'hand')",-132.6033502,0.327673036,8.79E-31
"('Person', 'tug')",-135.3831452,0.439792413,2.26E-31
"('Person', 'relax')",-135.8535332,0.363581851,1.82E-31
"('Person', 'focus')",-136.2187933,0.419775502,1.41E-31
"('Person', 'settle')",-137.29337,0.559655754,8.84E-32
"('Person', 'let', 'go')",-137.8176617,0.36813088,8.00E-32
"('Person', 'lift', 'head')",-141.5495925,0.409218311,9.39E-33
"('Person', 'flinch')",-149.0337737,0.46184275,2.51E-34
"('Person', 'run', 'finger')",-149.1118469,0.392850185,2.75E-34
